parallels@ubuntu-linux-22-04-desktop:~/imrsl/mmwave$ ./run_mmwave_simultaneously.sh
🚀 Memulai eksekusi mmwave secara simultan dengan NAME=nama_perangkat_anda
--------------------------------------------------------
Memulai Perintah 1 (IP 192.168.33.180)...
Memulai Perintah 2 (IP 192.168.33.181)...

⏳ Menunggu kedua proses mmwave (PID 29934 dan 29935) selesai...
[2025-10-29 19:18:13.582] [IP: 192.168.33.181] STATUS    0 | DEV MAP: 32 | [MMWCAS-DSP] TDA Connected!
[2025-10-29 19:18:13.584] [IP: 192.168.33.180] STATUS    0 | DEV MAP: 32 | [MMWCAS-DSP] TDA Connected!
[2025-10-29 19:18:14.853] [IP: 192.168.33.180] STATUS    0 | DEV MAP:  1 | [MASTER] Power up successful!
[2025-10-29 19:18:14.888] [IP: 192.168.33.181] STATUS    0 | DEV MAP:  1 | [MASTER] Power up successful!
[2025-10-29 19:18:22.682] [IP: 192.168.33.180] STATUS    0 | DEV MAP:  1 | [MASTER] Firmware successfully uploaded!
[2025-10-29 19:18:22.883] [IP: 192.168.33.180] STATUS    0 | DEV MAP:  1 | [MASTER] CRC type has been set!
[2025-10-29 19:18:23.058] [IP: 192.168.33.181] STATUS    0 | DEV MAP:  1 | [MASTER] Firmware successfully uploaded!
[2025-10-29 19:18:23.259] [IP: 192.168.33.181] STATUS    0 | DEV MAP:  1 | [MASTER] CRC type has been set!
[2025-10-29 19:18:24.093] [IP: 192.168.33.180] STATUS    0 | DEV MAP:  1 | [MASTER] RF successfully enabled!
[2025-10-29 19:18:24.333] [IP: 192.168.33.180] STATUS    0 | DEV MAP:  1 | [MASTER] Channels successfully configured!
[2025-10-29 19:18:24.532] [IP: 192.168.33.180] STATUS    0 | DEV MAP:  1 | [MASTER] ADC output format successfully configured!
[2025-10-29 19:18:24.532] [IP: 192.168.33.180] STATUS    0 | DEV MAP:  1 | [MASTER] Init completed with sucess

[2025-10-29 19:18:24.738] [IP: 192.168.33.181] STATUS    0 | DEV MAP:  1 | [MASTER] RF successfully enabled!
[2025-10-29 19:18:24.980] [IP: 192.168.33.181] STATUS    0 | DEV MAP:  1 | [MASTER] Channels successfully configured!
[2025-10-29 19:18:25.179] [IP: 192.168.33.181] STATUS    0 | DEV MAP:  1 | [MASTER] ADC output format successfully configured!
[2025-10-29 19:18:25.179] [IP: 192.168.33.181] STATUS    0 | DEV MAP:  1 | [MASTER] Init completed with sucess

